epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,117.507,1.7301,8.94771,0.02131,0.00114,0.2,0.00115,0.00031,1.35805,11.3552,0.02223,0.000291667,0.000291667,0.000291667
2,231.054,1.37327,8.28172,0.0151,0.01415,0.4,0.05366,0.04109,0.9261,10.6206,0.01449,0.00060025,0.00060025,0.00060025
3,345.489,1.15625,7.15986,0.01272,0.02172,0.7,0.12204,0.07968,0.89572,10.2123,0.01383,0.000882433,0.000882433,0.000882433
4,462.28,1.09793,7.39968,0.01272,0.03022,1,0.18915,0.12464,0.92086,10.1493,0.01483,0.0008812,0.0008812,0.0008812
5,1490.93,1.1323,6.69943,0.01236,0.00717,1,0.35575,0.22441,0.95234,10.2329,0.01563,0.0008416,0.0008416,0.0008416
6,1609.03,1.05431,6.88697,0.01244,0.00488,1,0.44223,0.3202,0.83467,9.77661,0.01362,0.000802,0.000802,0.000802
7,1724.19,1.09741,6.45515,0.01237,0.00407,1,0.4888,0.35331,0.94068,9.67254,0.01532,0.0007624,0.0007624,0.0007624
8,2749.55,1.10522,6.17788,0.01194,0.00407,1,0.64285,0.48594,0.90215,9.31893,0.01446,0.0007228,0.0007228,0.0007228
9,3057.73,0.99834,5.62636,0.01111,0.00404,1,0.73218,0.54593,0.87216,8.97719,0.01392,0.0006832,0.0006832,0.0006832
10,3169.96,1.04763,5.32728,0.01064,0.80382,0.33333,0.83546,0.62899,0.83738,8.66114,0.01348,0.0006436,0.0006436,0.0006436
11,3285.66,1.07938,5.4933,0.01187,0.89063,0.33333,0.84107,0.64874,0.90017,8.33736,0.0146,0.000604,0.000604,0.000604
12,3398.29,1.07306,5.19607,0.01225,0.82794,0.46667,0.89278,0.69554,0.90698,8.00052,0.01462,0.0005644,0.0005644,0.0005644
13,3520.17,1.00459,5.03209,0.01095,0.83088,0.61858,0.93372,0.75755,0.83838,7.59249,0.01288,0.0005248,0.0005248,0.0005248
14,4311.38,1.04156,5.0854,0.01187,0.84051,0.65203,0.92642,0.74804,0.78554,7.35717,0.01212,0.0004852,0.0004852,0.0004852
15,4658.89,0.99106,4.89606,0.01144,0.84064,0.64347,0.93567,0.73317,0.92796,7.28988,0.01482,0.0004456,0.0004456,0.0004456
16,4775.24,0.90425,7.70547,0.01237,0.84441,0.71827,0.96907,0.7357,1.03748,7.16445,0.01679,0.000406,0.000406,0.000406
17,4888.57,0.909,7.53635,0.01273,0.83944,0.65086,0.95964,0.73887,0.9672,6.98629,0.01557,0.0003664,0.0003664,0.0003664
18,5063.97,0.82382,7.31438,0.01126,0.80014,0.7,0.96325,0.73679,1.00395,6.72948,0.01615,0.0003268,0.0003268,0.0003268
19,5877.64,0.8139,7.14857,0.01169,0.71842,0.82679,0.96881,0.75574,0.99264,6.44203,0.01565,0.0002872,0.0002872,0.0002872
20,5988.02,0.8657,7.09784,0.01205,0.76374,0.89839,0.97437,0.78311,0.91442,6.1461,0.01418,0.0002476,0.0002476,0.0002476
21,6100.46,0.82217,6.93533,0.01156,0.88853,0.8853,0.98944,0.80171,0.83013,5.92658,0.01282,0.000208,0.000208,0.000208
22,6275.39,0.77737,6.78085,0.01112,0.8728,0.93687,0.96881,0.79496,0.81806,5.78789,0.01254,0.0001684,0.0001684,0.0001684
23,6384.5,0.81103,6.7959,0.01147,0.88547,0.92887,0.96881,0.7919,0.80588,5.70191,0.01231,0.0001288,0.0001288,0.0001288
24,6585.66,0.79203,6.69687,0.01077,0.89896,0.90269,0.96214,0.80129,0.79587,5.64416,0.01215,8.92e-05,8.92e-05,8.92e-05
25,6930.28,0.78195,6.73201,0.0108,0.89717,0.89793,0.96214,0.80218,0.78477,5.60105,0.01198,4.96e-05,4.96e-05,4.96e-05
